cutoff,fold,method,topk,spearman,kendall,mean_struct_width,selected
50,1,ols,3,0.12055924857554932,0.06066014902432799,,s21;s12;s20
50,1,ols,5,0.13614485485527814,0.08206961338585551,,s21;s12;s20;s14;s6
50,1,ols,10,0.04553441834665868,0.0285459524820367,,s21;s12;s20;s14;s6;s15;s3;s8;s2;s17
50,1,ts,3,0.058522423579766024,0.046387172783309644,,s21;s12;s15
50,1,ts,5,0.19711207942009967,0.14629800647043809,,s21;s12;s15;s14;s20
50,1,ts,10,0.0864848348463383,0.06779663714483716,,s21;s12;s15;s14;s20;s2;s3;s9;s7;s4
50,1,si,3,0.23913209635074104,0.15343449459094727,0.019314792329013303,s21;s15;s7
50,1,si,5,0.16991366846135722,0.08920610150636468,0.01741377322398258,s21;s15;s7;s4;s9
50,1,si,10,0.17663687117025983,0.1177520539884014,0.017002778341195197,s21;s15;s7;s4;s9;s12;s13;s20;s2;s11
50,2,ols,3,0.08945741854675762,0.07054494531575417,,s6;s20;s13
50,2,ols,5,0.0931360413655028,0.07435818560309222,,s6;s20;s13;s3;s11
50,2,ols,10,0.19095396631849948,0.15824947192452962,,s6;s20;s13;s3;s11;s15;s9;s14;s12;s4
50,2,ts,3,0.16687570786853104,0.11630382876381093,,s20;s21;s15
50,2,ts,5,0.1155421985342234,0.07817142589043029,,s20;s21;s15;s14;s11
50,2,ts,10,0.19446537900911984,0.13537003020050123,,s20;s21;s15;s14;s11;s12;s13;s8;s4;s3
50,2,si,3,0.09046067931550632,0.07435818560309222,0.01296642123474741,s15;s9;s8
50,2,si,5,0.2620182707715312,0.1620627122118677,0.013686213419880456,s15;s9;s8;s7;s12
50,2,si,10,0.3553215222651588,0.26120695968265734,0.01562686144148623,s15;s9;s8;s7;s12;s4;s2;s21;s3;s14
50,3,ols,3,-0.02022904130544944,-0.01901154427281721,,s6;s20;s8
50,3,ols,5,0.23756584871936906,0.17490620730991835,,s6;s20;s8;s17;s12
50,3,ols,10,0.4241411387762416,0.29277778180138503,,s6;s20;s8;s17;s12;s7;s14;s9;s3;s21
50,3,ts,3,0.31346654915469174,0.24334776669206032,,s7;s12;s20
50,3,ts,5,0.4717880542477548,0.31939394378332914,,s7;s12;s20;s21;s15
50,3,ts,10,0.3370392336511246,0.2243362224192431,,s7;s12;s20;s21;s15;s14;s8;s9;s13;s2
50,3,si,3,0.2551199754720318,0.16730158960079144,0.015370278540571753,s15;s14;s4
50,3,si,5,0.032433338952538776,0.007604617709126885,0.016032587660642948,s15;s14;s4;s2;s12
50,3,si,10,0.0866003586464695,0.05323232396388819,0.015228287892312347,s15;s14;s4;s2;s12;s8;s13;s20;s9;s7

