cutoff,method,topk,spearman_mean,spearman_sd,kendall_mean,mean_struct_width
50,ols,3,0.0632625419389525,0.07395920708253731,0.03739785002242165,
50,ols,5,0.15561558164671666,0.07415742858546852,0.11044466876628871,
50,ols,10,0.22020984114713324,0.19099133971885374,0.15985773540265044,
50,si,3,0.19490425037942638,0.09080334642587433,0.1316980899316103,0.015883830701444154
50,si,5,0.1547884260618091,0.11553739631745502,0.08629114380911974,0.015710858101501995
50,si,10,0.2061862506939627,0.13677587622392506,0.14406377921164895,0.015952642558331256
50,ts,3,0.1796215602009963,0.1279490889184117,0.13534625607972697,
50,ts,5,0.2614807774006926,0.18664210239936257,0.18128779204806586,
50,ts,10,0.20599648250219424,0.1256745855411227,0.1425009632548605,
80,ols,3,0.44226339039623924,0.22179811276328967,0.31885648305869035,
80,ols,5,0.5468326987512542,0.18511134358520126,0.40376592495341024,
80,ols,10,0.6280282052892671,0.21689414218663894,0.46308251658453986,
80,si,3,0.5461617202021153,0.24937058589841624,0.39879361927545104,0.008036044777873104
80,si,5,0.5571379654097438,0.18757074466350201,0.40205586575641217,0.008039954362489932
80,si,10,0.6011446855656861,0.17507288345516803,0.4421150452270582,0.008400594232906435
80,ts,3,0.5397175581693244,0.2060736375573773,0.38870117139049,
80,ts,5,0.5916380140487864,0.18600429382917058,0.44645708930707545,
80,ts,10,0.6675084935834451,0.18904473401287886,0.5165409878127895,

